index,stream,season,reach.original,reach,carbon,cr.area,cr.afdm,nrr
682,Amberly,Spring,Buried Down,Buried,Arabinose,8.963616435,10.5472918,1.60189794
683,Amberly,Spring,Buried Down,Buried,Arabinose,16.73708997,4.88444296,2.991104109
684,Amberly,Spring,Buried Down,Buried,Cellobiose,3.698728142,3.68744581,0.661003852
685,Amberly,Spring,Buried Down,Buried,Cellobiose,9.113147088,12.63791571,1.62862073
686,Amberly,Spring,Buried Down,Buried,Cellobiose,10.6137486,9.157270276,1.896794908
687,Amberly,Spring,Buried Down,Buried,Cellobiose,11.60074593,15.52991442,2.073182308
688,Amberly,Spring,Buried Down,Buried,Cellobiose,6.195760513,1.458680221,1.107251306
689,Amberly,Spring,Buried Down,Buried,Cellobiose,14.24797506,9.535624479,2.546271592
690,Amberly,Spring,Buried Down,Buried,Cellobiose,13.10088943,11.05576679,2.341274633
663,Amberly,Spring,Buried Down,Buried,Control,3.413061497,5.530333696,
664,Amberly,Spring,Buried Down,Buried,Control,5.525885976,12.62909374,
665,Amberly,Spring,Buried Down,Buried,Control,6.133177794,5.672722689,
666,Amberly,Spring,Buried Down,Buried,Control,6.145760648,13.26347234,
667,Amberly,Spring,Buried Down,Buried,Control,7.058419562,12.46131429,
668,Amberly,Spring,Buried Down,Buried,Control,3.997708241,3.378462112,
669,Amberly,Spring,Buried Down,Buried,Control,6.895345013,1.022223173,
670,Amberly,Spring,Buried Down,Buried,Glucose,5.384178002,2.050951591,0.962212485
671,Amberly,Spring,Buried Down,Buried,Glucose,7.666550024,4.962353478,1.370097748
672,Amberly,Spring,Buried Down,Buried,Glucose,11.11982291,11.66784351,1.987236015
673,Amberly,Spring,Buried Down,Buried,Glucose,8.407281429,6.278417866,1.502474687
674,Amberly,Spring,Buried Down,Buried,Glucose,15.64097568,20.23691294,2.795216294
675,Amberly,Spring,Buried Down,Buried,Glucose,12.03586581,8.343712556,2.150943069
676,Amberly,Spring,Buried Down,Buried,Glucose,13.4425996,10.03503552,2.402342042
646,Amberly,Spring,Buried Up,Buried,Arabinose,16.78468175,11.63398024,3.232054357
647,Amberly,Spring,Buried Up,Buried,Arabinose,12.66388043,16.95300917,2.438553828
648,Amberly,Spring,Buried Up,Buried,Arabinose,1.438178753,5.103501031,0.276935361
649,Amberly,Spring,Buried Up,Buried,Arabinose,9.937734971,9.646925538,1.913607901
650,Amberly,Spring,Buried Up,Buried,Arabinose,8.454467177,8.008145291,1.627990205
651,Amberly,Spring,Buried Up,Buried,Arabinose,2.521396,2.516966627,0.485519419
652,Amberly,Spring,Buried Up,Buried,Arabinose,11.92692529,6.431211735,2.29664592
653,Amberly,Spring,Buried Up,Buried,Cellobiose,14.64449497,13.53511414,2.819940496
654,Amberly,Spring,Buried Up,Buried,Cellobiose,1.852016876,,0.356623933
655,Amberly,Spring,Buried Up,Buried,Cellobiose,7.124570363,,1.371905588
656,Amberly,Spring,Buried Up,Buried,Cellobiose,9.996731145,5.245483322,1.924968191
657,Amberly,Spring,Buried Up,Buried,Cellobiose,8.4980927,7.675032558,1.636390725
658,Amberly,Spring,Buried Up,Buried,Cellobiose,11.1322328,12.34906616,2.143620122
659,Amberly,Spring,Buried Up,Buried,Cellobiose,13.40262539,10.0057062,2.580806383
632,Amberly,Spring,Buried Up,Buried,Control,4.717214009,2.696294118,
633,Amberly,Spring,Buried Up,Buried,Control,2.697881072,6.563025,
634,Amberly,Spring,Buried Up,Buried,Control,4.821710657,23.4252407,
635,Amberly,Spring,Buried Up,Buried,Control,4.815968304,8.913292964,
636,Amberly,Spring,Buried Up,Buried,Control,6.39240531,15.52104356,
